id,category,model,target_lang,target_lang_name,ko_text,translated_text,ko_chars,tr_chars,ko_tokens,tr_tokens,fertility,ko_chars_per_token,tr_chars_per_token,cost_per_1k_ko_chars_usd
1,medical,gpt-5.4-mini,en,English,혈압이 정상 범위 내에 있습니다.,Your blood pressure is within normal range.,18,43,10,8,0.8,1.8,5.375,0.00041666666666666664
1,medical,deepseek-chat,en,English,혈압이 정상 범위 내에 있습니다.,Your blood pressure is within normal range.,18,43,12,8,0.6666666666666666,1.5,5.375,0.00018
1,medical,gemini-2.5-flash,en,English,혈압이 정상 범위 내에 있습니다.,Your blood pressure is within normal range.,18,43,9,8,0.8888888888888888,2.0,5.375,7.5e-05
1,medical,gpt-5.4-mini,es,Spanish,혈압이 정상 범위 내에 있습니다.,Su presión arterial está dentro del rango normal.,18,49,10,9,0.9,1.8,5.444444444444445,0.00041666666666666664
1,medical,deepseek-chat,es,Spanish,혈압이 정상 범위 내에 있습니다.,Su presión arterial está dentro del rango normal.,18,49,12,10,0.8333333333333334,1.5,4.9,0.00018
1,medical,gemini-2.5-flash,es,Spanish,혈압이 정상 범위 내에 있습니다.,Su presión arterial está dentro del rango normal.,18,49,9,9,1.0,2.0,5.444444444444445,7.5e-05
1,medical,gpt-5.4-mini,zh-CN,Chinese,혈압이 정상 범위 내에 있습니다.,您的血压在正常范围内。,18,11,10,8,0.8,1.8,1.375,0.00041666666666666664
1,medical,deepseek-chat,zh-CN,Chinese,혈압이 정상 범위 내에 있습니다.,您的血压在正常范围内。,18,11,12,6,0.5,1.5,1.8333333333333333,0.00018
1,medical,gemini-2.5-flash,zh-CN,Chinese,혈압이 정상 범위 내에 있습니다.,您的血压在正常范围内。,18,11,9,6,0.6666666666666666,2.0,1.8333333333333333,7.5e-05
2,medical,gpt-5.4-mini,en,English,혈당 수치가 높게 나왔습니다.,My blood sugar level was high.,16,30,11,7,0.6363636363636364,1.4545454545454546,4.285714285714286,0.000515625
2,medical,deepseek-chat,en,English,혈당 수치가 높게 나왔습니다.,My blood sugar level was high.,16,30,12,7,0.5833333333333334,1.3333333333333333,4.285714285714286,0.0002025
